Dataset	Effect	Trt	Estimate
129	Intercept		-0.9125
129	Trt	D	-1.5085
129	Trt	C	-0.7592
129	Trt	B	-0.00893
129	Trt	A	0
129	Scale Parameter		3.1115
130	Intercept		-0.9643
130	Trt	D	-1.5238
130	Trt	C	-0.6368
130	Trt	B	0.04735
130	Trt	A	0
130	Scale Parameter		4.0677
131	Intercept		-0.5104
131	Trt	D	-1.7758
131	Trt	C	-0.9225
131	Trt	B	-0.5719
131	Trt	A	0
131	Scale Parameter		2.9903
132	Intercept		1.0597
132	Trt	D	-2.7963
132	Trt	C	-2.5109
132	Trt	B	-2.1288
132	Trt	A	0
132	Scale Parameter		0.4973
133	Intercept		-0.5212
133	Trt	D	-2.2511
133	Trt	C	-1.6208
133	Trt	B	-0.6051
133	Trt	A	0
133	Scale Parameter		2.5274
134	Intercept		-0.7623
134	Trt	D	-1.6621
134	Trt	C	-0.8497
134	Trt	B	-0.4839
134	Trt	A	0
134	Scale Parameter		3.1219
135	Intercept		-0.6193
135	Trt	D	-1.5268
135	Trt	C	-0.6584
135	Trt	B	-0.5981
135	Trt	A	0
135	Scale Parameter		2.7790
136	Intercept		-0.8725
136	Trt	D	-1.9350
136	Trt	C	-0.6490
136	Trt	B	-0.4218
136	Trt	A	0
136	Scale Parameter		2.4067
137	Intercept		-0.7219
137	Trt	D	-2.2035
137	Trt	C	-1.0536
137	Trt	B	-0.3298
137	Trt	A	0
137	Scale Parameter		2.7503
138	Intercept		-0.9420
138	Trt	D	-1.8123
138	Trt	C	-0.7292
138	Trt	B	-0.1313
138	Trt	A	0
138	Scale Parameter		2.8900
139	Intercept		-0.6210
139	Trt	D	-1.9135
139	Trt	C	-0.9089
139	Trt	B	-0.4208
139	Trt	A	0
139	Scale Parameter		3.1381
140	Intercept		-0.5304
140	Trt	D	-1.6329
140	Trt	C	-1.0895
140	Trt	B	-0.8535
140	Trt	A	0
140	Scale Parameter		2.7771
141	Intercept		-0.8529
141	Trt	D	-1.5447
141	Trt	C	-0.8102
141	Trt	B	-0.8671
141	Trt	A	0
141	Scale Parameter		4.6732
142	Intercept		-0.6506
142	Trt	D	-1.6671
142	Trt	C	-1.0864
142	Trt	B	-0.6585
142	Trt	A	0
142	Scale Parameter		3.2185
143	Intercept		-0.6814
143	Trt	D	-2.1788
143	Trt	C	-0.5311
143	Trt	B	-0.4125
143	Trt	A	0
143	Scale Parameter		3.3335
144	Intercept		-0.4991
144	Trt	D	-1.9174
144	Trt	C	-0.9677
144	Trt	B	-0.8074
144	Trt	A	0
144	Scale Parameter		2.3011
145	Intercept		-0.6649
145	Trt	D	-1.4769
145	Trt	C	-0.7098
145	Trt	B	-0.4079
145	Trt	A	0
145	Scale Parameter		1.6847
146	Intercept		-0.9521
146	Trt	D	-1.7526
146	Trt	C	-0.5658
146	Trt	B	0.1434
146	Trt	A	0
146	Scale Parameter		3.6979
147	Intercept		-0.6011
147	Trt	D	-2.0885
147	Trt	C	-0.8914
147	Trt	B	-0.4278
147	Trt	A	0
147	Scale Parameter		3.0205
148	Intercept		-0.4429
148	Trt	D	-2.1397
148	Trt	C	-1.5775
148	Trt	B	-0.8874
148	Trt	A	0
148	Scale Parameter		3.7885
149	Intercept		-0.6517
149	Trt	D	-1.8502
149	Trt	C	-0.9753
149	Trt	B	-0.3735
149	Trt	A	0
149	Scale Parameter		3.0985
150	Intercept		-0.5730
150	Trt	D	-1.5865
150	Trt	C	-1.0346
150	Trt	B	-0.6868
150	Trt	A	0
150	Scale Parameter		3.6062
151	Intercept		-0.5925
151	Trt	D	-1.6935
151	Trt	C	-1.1496
